step 4800: train loss 0.8326, val loss 0.8272
saving checkpoint to out/addition_ft
iter 5038: loss 0.8540, time 59.12ms, mfu 0.05%
iter 5039: loss 0.8416, time 75.82ms, mfu 0.05%
iter 5040: loss 0.8500, time 44.73ms, mfu 0.05%
iter 5041: loss 0.8534, time 34.43ms, mfu 0.06%
iter 5042: loss 0.8446, time 61.42ms, mfu 0.06%
iter 5043: loss 0.8550, time 55.39ms, mfu 0.06%
iter 5044: loss 0.8505, time 45.09ms, mfu 0.06%
iter 5045: loss 0.8552, time 43.75ms, mfu 0.06%
iter 5046: loss 0.8523, time 45.27ms, mfu 0.06%
iter 5047: loss 0.8520, time 50.07ms, mfu 0.06%
iter 5048: loss 0.8604, time 50.49ms, mfu 0.06%
iter 5049: loss 0.8535, time 47.27ms, mfu 0.06%
iter 5050: loss 0.8648, time 33.85ms, mfu 0.07%
iter 5051: loss 0.8674, time 34.08ms, mfu 0.07%
iter 5052: loss 0.8705, time 29.45ms, mfu 0.07%
iter 5053: loss 0.8594, time 30.50ms, mfu 0.08%
iter 5054: loss 0.8427, time 38.57ms, mfu 0.08%
iter 5055: loss 0.8531, time 32.84ms, mfu 0.08%
iter 5056: loss 0.8500, time 40.85ms, mfu 0.08%
iter 5057: loss 0.8597, time 32.41ms, mfu 0.08%
iter 5058: loss 0.8664, time 29.26ms, mfu 0.08%
iter 5059: loss 0.8677, time 28.13ms, mfu 0.09%
iter 5060: loss 0.8468, time 28.07ms, mfu 0.09%
iter 5061: loss 0.8542, time 28.19ms, mfu 0.09%
iter 5062: loss 0.8651, time 27.80ms, mfu 0.10%
iter 5063: loss 0.8488, time 27.90ms, mfu 0.10%
iter 5064: loss 0.8825, time 27.78ms, mfu 0.10%
iter 5065: loss 0.8530, time 28.02ms, mfu 0.10%
iter 5066: loss 0.8435, time 31.33ms, mfu 0.10%
iter 5067: loss 0.8478, time 28.03ms, mfu 0.10%
iter 5068: loss 0.8669, time 28.61ms, mfu 0.10%
iter 5069: loss 0.8652, time 28.35ms, mfu 0.10%
iter 5070: loss 0.8790, time 27.88ms, mfu 0.11%
iter 5071: loss 0.8598, time 28.03ms, mfu 0.11%
iter 5072: loss 0.8644, time 28.24ms, mfu 0.11%
iter 5073: loss 0.8534, time 31.16ms, mfu 0.11%
iter 5074: loss 0.8436, time 30.41ms, mfu 0.11%
iter 5075: loss 0.8605, time 28.95ms, mfu 0.11%
iter 5076: loss 0.8602, time 28.89ms, mfu 0.11%
iter 5077: loss 0.8694, time 28.82ms, mfu 0.11%
iter 5078: loss 0.8640, time 30.83ms, mfu 0.11%
iter 5079: loss 0.8431, time 32.76ms, mfu 0.11%
iter 5080: loss 0.8487, time 29.10ms, mfu 0.11%
iter 5081: loss 0.8560, time 28.39ms, mfu 0.11%
iter 5082: loss 0.8697, time 27.78ms, mfu 0.11%
iter 5083: loss 0.8637, time 27.93ms, mfu 0.11%
iter 5084: loss 0.8543, time 27.65ms, mfu 0.11%
iter 5085: loss 0.8585, time 28.00ms, mfu 0.11%
iter 5086: loss 0.8570, time 28.65ms, mfu 0.11%
iter 5087: loss 0.8507, time 31.34ms, mfu 0.11%
iter 5088: loss 0.8445, time 29.01ms, mfu 0.11%
iter 5089: loss 0.8332, time 28.53ms, mfu 0.11%
iter 5090: loss 0.8475, time 29.89ms, mfu 0.11%
iter 5091: loss 0.8661, time 32.45ms, mfu 0.11%
iter 5092: loss 0.8614, time 32.08ms, mfu 0.11%
iter 5093: loss 0.8533, time 28.61ms, mfu 0.11%
iter 5094: loss 0.8608, time 29.01ms, mfu 0.11%
iter 5095: loss 0.8740, time 30.05ms, mfu 0.11%
iter 5096: loss 0.8612, time 157.04ms, mfu 0.10%
iter 5097: loss 0.8566, time 169.53ms, mfu 0.09%
iter 5098: loss 0.8661, time 43.92ms, mfu 0.09%
iter 5099: loss 0.8711, time 30.13ms, mfu 0.09%
step 5100: train loss 0.8642, val loss 0.8544
saving checkpoint to out/addition_ft
iter 5100: loss 0.8566, time 491.62ms, mfu 0.08%
iter 5101: loss 0.8686, time 36.25ms, mfu 0.08%
iter 5102: loss 0.8537, time 33.02ms, mfu 0.09%
iter 5103: loss 0.8659, time 30.05ms, mfu 0.09%
iter 5104: loss 0.8905, time 30.03ms, mfu 0.09%
iter 5105: loss 0.8762, time 30.21ms, mfu 0.09%
iter 5106: loss 0.8732, time 33.11ms, mfu 0.09%
iter 5107: loss 0.8676, time 29.14ms, mfu 0.09%
iter 5108: loss 0.8553, time 28.07ms, mfu 0.10%
iter 5109: loss 0.8567, time 28.28ms, mfu 0.10%
iter 5110: loss 0.8565, time 29.80ms, mfu 0.10%
iter 5111: loss 0.8534, time 30.33ms, mfu 0.10%
iter 5112: loss 0.8594, time 36.03ms, mfu 0.10%
iter 5113: loss 0.8507, time 31.76ms, mfu 0.10%
iter 5114: loss 0.8431, time 28.70ms, mfu 0.10%
iter 5115: loss 0.8492, time 28.15ms, mfu 0.10%
iter 5116: loss 0.8588, time 30.64ms, mfu 0.10%
iter 5117: loss 0.8798, time 28.37ms, mfu 0.10%
iter 5118: loss 0.8606, time 36.46ms, mfu 0.10%
iter 5119: loss 0.8512, time 31.17ms, mfu 0.10%
iter 5120: loss 0.8638, time 31.16ms, mfu 0.10%
iter 5121: loss 0.8514, time 28.81ms, mfu 0.10%
iter 5122: loss 0.8693, time 28.63ms, mfu 0.10%
iter 5123: loss 0.8721, time 27.96ms, mfu 0.11%
iter 5124: loss 0.8357, time 27.41ms, mfu 0.11%
iter 5125: loss 0.8581, time 27.69ms, mfu 0.11%
iter 5126: loss 0.8424, time 27.51ms, mfu 0.11%
iter 5127: loss 0.8526, time 29.34ms, mfu 0.11%
iter 5128: loss 0.8569, time 27.45ms, mfu 0.11%
iter 5129: loss 0.8538, time 27.29ms, mfu 0.11%
iter 5130: loss 0.8747, time 27.58ms, mfu 0.11%
iter 5131: loss 0.8671, time 27.55ms, mfu 0.11%
iter 5132: loss 0.8504, time 27.30ms, mfu 0.11%
iter 5133: loss 0.8457, time 31.46ms, mfu 0.11%
iter 5134: loss 0.8507, time 27.37ms, mfu 0.11%
iter 5135: loss 0.8614, time 31.23ms, mfu 0.11%
iter 5136: loss 0.8724, time 28.04ms, mfu 0.11%
iter 5137: loss 0.8568, time 27.62ms, mfu 0.11%
iter 5138: loss 0.8356, time 27.63ms, mfu 0.11%
iter 5139: loss 0.8627, time 28.10ms, mfu 0.11%
iter 5140: loss 0.8597, time 28.62ms, mfu 0.11%
iter 5141: loss 0.8462, time 31.15ms, mfu 0.11%
iter 5142: loss 0.8711, time 28.96ms, mfu 0.11%
iter 5143: loss 0.8548, time 29.11ms, mfu 0.11%
iter 5144: loss 0.8585, time 29.03ms, mfu 0.11%
iter 5145: loss 0.8728, time 32.67ms, mfu 0.11%
iter 5146: loss 0.8535, time 27.89ms, mfu 0.11%
iter 5147: loss 0.8613, time 30.51ms, mfu 0.11%
iter 5148: loss 0.8597, time 27.21ms, mfu 0.11%
iter 5149: loss 0.8402, time 30.24ms, mfu 0.11%
iter 5150: loss 0.8540, time 27.58ms, mfu 0.11%
iter 5151: loss 0.8484, time 27.48ms, mfu 0.11%
iter 5152: loss 0.8358, time 29.96ms, mfu 0.11%
iter 5153: loss 0.8624, time 30.20ms, mfu 0.11%
iter 5154: loss 0.8557, time 27.97ms, mfu 0.11%
iter 5155: loss 0.8550, time 32.46ms, mfu 0.11%
iter 5156: loss 0.8551, time 27.67ms, mfu 0.11%
iter 5157: loss 0.8569, time 27.77ms, mfu 0.11%
iter 5158: loss 0.8585, time 27.59ms, mfu 0.11%
iter 5159: loss 0.8570, time 27.45ms, mfu 0.11%
iter 5160: loss 0.8472, time 27.46ms, mfu 0.11%
iter 5161: loss 0.8428, time 28.05ms, mfu 0.11%
iter 5162: loss 0.8553, time 37.40ms, mfu 0.11%
iter 5163: loss 0.8558, time 33.36ms, mfu 0.11%
iter 5164: loss 0.8320, time 27.58ms, mfu 0.11%
iter 5165: loss 0.8569, time 28.79ms, mfu 0.11%
iter 5166: loss 0.8612, time 27.61ms, mfu 0.11%
iter 5167: loss 0.8560, time 27.37ms, mfu 0.11%
iter 5168: loss 0.8481, time 27.52ms, mfu 0.11%
iter 5169: loss 0.8598, time 26.91ms, mfu 0.11%
iter 5170: loss 0.8469, time 30.48ms, mfu 0.11%
iter 5171: loss 0.8578, time 27.49ms, mfu 0.11%
iter 5172: loss 0.8550, time 27.70ms, mfu 0.11%
iter 5173: loss 0.8557, time 30.93ms, mfu 0.11%
iter 5174: loss 0.8639, time 31.72ms, mfu 0.11%
iter 5175: loss 0.8495, time 27.45ms, mfu 0.11%
iter 5176: loss 0.8546, time 27.31ms, mfu 0.11%
iter 5177: loss 0.8665, time 27.46ms, mfu 0.11%
iter 5178: loss 0.8587, time 27.67ms, mfu 0.11%
iter 5179: loss 0.8607, time 27.77ms, mfu 0.11%
iter 5180: loss 0.8592, time 27.46ms, mfu 0.11%
iter 5181: loss 0.8533, time 27.62ms, mfu 0.11%
iter 5182: loss 0.8589, time 27.45ms, mfu 0.12%
iter 5183: loss 0.8555, time 27.07ms, mfu 0.12%
iter 5184: loss 0.8581, time 27.26ms, mfu 0.12%
iter 5185: loss 0.8705, time 29.00ms, mfu 0.12%
iter 5186: loss 0.8346, time 28.41ms, mfu 0.12%
iter 5187: loss 0.8493, time 30.11ms, mfu 0.11%
iter 5188: loss 0.8460, time 27.65ms, mfu 0.11%
iter 5189: loss 0.8597, time 32.98ms, mfu 0.11%
iter 5190: loss 0.8446, time 27.57ms, mfu 0.11%
iter 5191: loss 0.8324, time 27.51ms, mfu 0.11%
iter 5192: loss 0.8431, time 27.83ms, mfu 0.11%
iter 5193: loss 0.8406, time 27.48ms, mfu 0.11%
iter 5194: loss 0.8378, time 27.40ms, mfu 0.11%
iter 5195: loss 0.8631, time 27.37ms, mfu 0.12%
iter 5196: loss 0.8633, time 27.37ms, mfu 0.12%
iter 5197: loss 0.8445, time 27.29ms, mfu 0.12%
iter 5198: loss 0.8531, time 27.48ms, mfu 0.12%
iter 5199: loss 0.8510, time 27.49ms, mfu 0.12%
step 5200: train loss 0.8499, val loss 0.8487
saving checkpoint to out/addition_ft
iter 5200: loss 0.8560, time 451.07ms, mfu 0.11%
iter 5201: loss 0.8576, time 69.51ms, mfu 0.10%
iter 5202: loss 0.8610, time 78.61ms, mfu 0.09%
iter 5203: loss 0.8601, time 63.64ms, mfu 0.09%
iter 5204: loss 0.8343, time 40.02ms, mfu 0.09%
